gene	resp	score	count	site	signature
TRP3	2	8.1842405	14	NIBR|UBC	TRP biosynthesis:2
TRP4	2	6.545914	14	NIBR|UBC	TRP biosynthesis:2
TRP2	2	6.317917	14	NIBR|UBC	TRP biosynthesis:2
TRP1	2	6.131102	14	NIBR|UBC	TRP biosynthesis:2
GCN4	2	4.261341	14	NIBR|UBC	TRP biosynthesis:2
ARO1	2	3.997088426	14	NIBR|UBC	TRP biosynthesis:2
GCN2	2	3.588256	14	NIBR|UBC	TRP biosynthesis:2
ARO3	2	2.984872959	14	NIBR|UBC	TRP biosynthesis:2
GCN3	2	2.93845	14	NIBR|UBC	TRP biosynthesis:2
GCN20	2	2.4002	14	NIBR|UBC	TRP biosynthesis:2
DAL81	2	1.871489	14	NIBR|UBC	TRP biosynthesis:2
ARO2	2	1.809867	14	NIBR|UBC	TRP biosynthesis:2
COG8	6	4.839953	8	NIBR|UBC	Golgi:6
COG7	6	4.286972	8	NIBR|UBC	Golgi:6
IRS4	6	3.846001	8	NIBR|UBC	Golgi:6
COG6	6	3.093616	8	NIBR|UBC	Golgi:6
TLG2	6	2.195266	8	NIBR|UBC	Golgi:6
COG5	6	2.098926	8	NIBR|UBC	Golgi:6
SYS1	6	1.954475	8	NIBR|UBC	Golgi:6
ARL1	6	1.649284697	8	NIBR|UBC	Golgi:6
GCS1	7	12.14902	16	NIBR|UBC	OLE1; morpholine antifungals:7
RCY1	7	8.4381135	16	NIBR|UBC	OLE1; morpholine antifungals:7
CDC50	7	4.14233302377009	16	NIBR|UBC	OLE1; morpholine antifungals:7
YPT31	7	4.086027	16	NIBR|UBC	OLE1; morpholine antifungals:7
TRP3	7	2.942196	16	NIBR|UBC	OLE1; morpholine antifungals:7
GYP1	7	2.50684	16	NIBR|UBC	OLE1; morpholine antifungals:7
DRS2	7	2.4668855154983	16	NIBR|UBC	OLE1; morpholine antifungals:7
TRP4	7	2.4177985	16	NIBR|UBC	OLE1; morpholine antifungals:7
TVP18	7	2.2618935	16	NIBR|UBC	OLE1; morpholine antifungals:7
ARO1	7	2.1062525115	16	NIBR|UBC	OLE1; morpholine antifungals:7
TRP2	7	1.9421485	16	NIBR|UBC	OLE1; morpholine antifungals:7
TRP1	7	1.870476	16	NIBR|UBC	OLE1; morpholine antifungals:7
GCN4	7	1.829304	16	NIBR|UBC	OLE1; morpholine antifungals:7
VPS36	9	3.269587	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
VPS28	9	3.091373	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
ARF1	9	3.07314528575548	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
APL5	9	2.82944623633413	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
SNF8	9	2.754663	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
STP22	9	2.748522	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
YPT7	9	2.730699	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
VAM6	9	2.601415	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
VPS20	9	2.434043	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
MAK10	9	2.414815	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
PEP12	9	2.375799	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
PEP7	9	2.364442	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
VPS3	9	2.341257	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
ARL1	9	2.23886627164839	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
TLG2	9	2.235904	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
SYS1	9	2.223582	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
VPS41	9	2.201249	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
APL6	9	2.18447499859117	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
VPS27	9	2.173861	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
ARL3	9	2.17003002683841	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
VPS45	9	2.168086	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
VPS4	9	2.14951	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
SWA2	9	2.133725	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
VPS5	9	2.11607	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
CCZ1	9	2.11452172082366	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
VAM7	9	2.104449	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
VPS8	9	2.099951	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
APS3	9	2.099226	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
VAM10	9	2.088538	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
APM3	9	2.07840512255501	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
VPS52	9	2.053212	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
CKA2	9	2.049843	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
VPS35	9	2.007074	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
MAK3	9	1.975353	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
VPS25	9	1.962715	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
VPS21	9	1.893859	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
VAM3	9	1.87759	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
CLC1	9	1.8699052332269	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
BRO1	9	1.86448017032257	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
SNF7	9	1.838913	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
INP53	9	1.832789	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
VPS1	9	1.802559	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
ELO2	9	1.787459	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
YPT6	9	1.771386	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
OAR1	9	1.764174	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
VPS24	9	1.734429	49	NIBR|UBC	vATPase inhibitors; concanamycin:9
MRPL17	11	6.1660675	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL9	11	5.318967	150	NIBR|UBC	mitochondrial translation; triclosan:11
GTF1	11	5.1554745	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRP7	11	4.909787	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL11	11	4.8089425	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPS35	11	4.716935	150	NIBR|UBC	mitochondrial translation; triclosan:11
SOV1	11	4.544598	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL31	11	4.4452225	150	NIBR|UBC	mitochondrial translation; triclosan:11
ATP5	11	4.39561153999449	150	NIBR|UBC	mitochondrial translation; triclosan:11
SSQ1	11	4.355552	150	NIBR|UBC	mitochondrial translation; triclosan:11
SLM5	11	4.164608	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPS12	11	4.1366585	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL32	11	4.135131	150	NIBR|UBC	mitochondrial translation; triclosan:11
YIL060W	11	4.1255585	150	NIBR|UBC	mitochondrial translation; triclosan:11
RML2	11	4.08015	150	NIBR|UBC	mitochondrial translation; triclosan:11
RIM1	11	3.905876	150	NIBR|UBC	mitochondrial translation; triclosan:11
MTG1	11	3.679098	150	NIBR|UBC	mitochondrial translation; triclosan:11
MSW1	11	3.676473	150	NIBR|UBC	mitochondrial translation; triclosan:11
RSM18	11	3.6529145	150	NIBR|UBC	mitochondrial translation; triclosan:11
NAM2	11	3.538574	150	NIBR|UBC	mitochondrial translation; triclosan:11
RSM7	11	3.5226875	150	NIBR|UBC	mitochondrial translation; triclosan:11
IMG1	11	3.506075	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL38	11	3.3950305	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPS28	11	3.388357	150	NIBR|UBC	mitochondrial translation; triclosan:11
SOD2	11	3.3798945	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL37	11	3.3764195	150	NIBR|UBC	mitochondrial translation; triclosan:11
RSM19	11	3.367335	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPS5	11	3.330772	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL51	11	3.2803235	150	NIBR|UBC	mitochondrial translation; triclosan:11
RPO41	11	3.2715105	150	NIBR|UBC	mitochondrial translation; triclosan:11
RSM27	11	3.247413	150	NIBR|UBC	mitochondrial translation; triclosan:11
PET112	11	3.2384585	150	NIBR|UBC	mitochondrial translation; triclosan:11
HER2	11	3.214699	150	NIBR|UBC	mitochondrial translation; triclosan:11
PPA2	11	3.177831	150	NIBR|UBC	mitochondrial translation; triclosan:11
MSH1	11	3.1696515	150	NIBR|UBC	mitochondrial translation; triclosan:11
HMI1	11	3.1673105	150	NIBR|UBC	mitochondrial translation; triclosan:11
MTF1	11	3.12894	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL15	11	3.1242255	150	NIBR|UBC	mitochondrial translation; triclosan:11
MSE1	11	3.109804	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRM1	11	3.1014105	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRP2	11	3.082273	150	NIBR|UBC	mitochondrial translation; triclosan:11
RRG8	11	3.0576355	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRH4	11	3.050967	150	NIBR|UBC	mitochondrial translation; triclosan:11
PET309	11	3.0464535	150	NIBR|UBC	mitochondrial translation; triclosan:11
GGC1	11	3.0444915	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL22	11	2.991918	150	NIBR|UBC	mitochondrial translation; triclosan:11
RRG1	11	2.9890975	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRX14	11	2.983473	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL35	11	2.9493295	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRP20	11	2.949278	150	NIBR|UBC	mitochondrial translation; triclosan:11
SUV3	11	2.934173	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPS17	11	2.8985445	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL40	11	2.8841495	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL27	11	2.8833545	150	NIBR|UBC	mitochondrial translation; triclosan:11
ISA1	11	2.881491	150	NIBR|UBC	mitochondrial translation; triclosan:11
PET123	11	2.837423	150	NIBR|UBC	mitochondrial translation; triclosan:11
ATP25	11	2.82496767497662	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRP1	11	2.79768	150	NIBR|UBC	mitochondrial translation; triclosan:11
GLO3	11	2.751927	150	NIBR|UBC	mitochondrial translation; triclosan:11
MSF1	11	2.719809	150	NIBR|UBC	mitochondrial translation; triclosan:11
EXO5	11	2.7114475	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL16	11	2.695696	150	NIBR|UBC	mitochondrial translation; triclosan:11
PET130	11	2.6713535	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL7	11	2.6692975	150	NIBR|UBC	mitochondrial translation; triclosan:11
CCM1	11	2.63327593338583	150	NIBR|UBC	mitochondrial translation; triclosan:11
MSY1	11	2.615916	150	NIBR|UBC	mitochondrial translation; triclosan:11
MEF1	11	2.5895135	150	NIBR|UBC	mitochondrial translation; triclosan:11
MSR1	11	2.5838525	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL6	11	2.564598	150	NIBR|UBC	mitochondrial translation; triclosan:11
DSS1	11	2.54679554824967	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL4	11	2.5446195	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRP51	11	2.5384545	150	NIBR|UBC	mitochondrial translation; triclosan:11
RRF1	11	2.5243985	150	NIBR|UBC	mitochondrial translation; triclosan:11
RSM25	11	2.5117285	150	NIBR|UBC	mitochondrial translation; triclosan:11
SLS1	11	2.500704	150	NIBR|UBC	mitochondrial translation; triclosan:11
RIM2	11	2.491551	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL20	11	2.4695065	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRF1	11	2.460437	150	NIBR|UBC	mitochondrial translation; triclosan:11
IRC19	11	2.4399575	150	NIBR|UBC	mitochondrial translation; triclosan:11
MBP1	11	2.4245845	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRP10	11	2.424546	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL10	11	2.413652	150	NIBR|UBC	mitochondrial translation; triclosan:11
GEP5	11	2.378549	150	NIBR|UBC	mitochondrial translation; triclosan:11
ATP14	11	2.3730045	150	NIBR|UBC	mitochondrial translation; triclosan:11
RSM23	11	2.3447995	150	NIBR|UBC	mitochondrial translation; triclosan:11
OXA1	11	2.327997	150	NIBR|UBC	mitochondrial translation; triclosan:11
IRC3	11	2.291554	150	NIBR|UBC	mitochondrial translation; triclosan:11
MHR1	11	2.2688845	150	NIBR|UBC	mitochondrial translation; triclosan:11
GEP3	11	2.2638215	150	NIBR|UBC	mitochondrial translation; triclosan:11
OAR1	11	2.26148	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL49	11	2.254104	150	NIBR|UBC	mitochondrial translation; triclosan:11
MSD1	11	2.244864	150	NIBR|UBC	mitochondrial translation; triclosan:11
MSM1	11	2.238591	150	NIBR|UBC	mitochondrial translation; triclosan:11
YLR149C	11	2.2373045	150	NIBR|UBC	mitochondrial translation; triclosan:11
MTF2	11	2.227094	150	NIBR|UBC	mitochondrial translation; triclosan:11
MSS116	11	2.213951	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL13	11	2.1983205	150	NIBR|UBC	mitochondrial translation; triclosan:11
CIN4	11	2.17935679417516	150	NIBR|UBC	mitochondrial translation; triclosan:11
END3	11	2.1773565	150	NIBR|UBC	mitochondrial translation; triclosan:11
IMG2	11	2.1715725	150	NIBR|UBC	mitochondrial translation; triclosan:11
PPT2	11	2.1499885	150	NIBR|UBC	mitochondrial translation; triclosan:11
FOL3	11	2.1477135	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL25	11	2.1382115	150	NIBR|UBC	mitochondrial translation; triclosan:11
AFG3	11	2.09690458433851	150	NIBR|UBC	mitochondrial translation; triclosan:11
MGM101	11	2.089048	150	NIBR|UBC	mitochondrial translation; triclosan:11
AIM10	11	2.08780917257876	150	NIBR|UBC	mitochondrial translation; triclosan:11
RTC6	11	2.073485	150	NIBR|UBC	mitochondrial translation; triclosan:11
MIP1	11	2.0705605	150	NIBR|UBC	mitochondrial translation; triclosan:11
GIN4	11	2.061233	150	NIBR|UBC	mitochondrial translation; triclosan:11
ISM1	11	2.060277	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRP17	11	2.059787	150	NIBR|UBC	mitochondrial translation; triclosan:11
AEP3	11	2.05919153845366	150	NIBR|UBC	mitochondrial translation; triclosan:11
MMM1	11	2.04328	150	NIBR|UBC	mitochondrial translation; triclosan:11
PCP1	11	2.0350435	150	NIBR|UBC	mitochondrial translation; triclosan:11
IFM1	11	2.0329115	150	NIBR|UBC	mitochondrial translation; triclosan:11
RPL2B	11	2.025021	150	NIBR|UBC	mitochondrial translation; triclosan:11
PET100	11	2.012713	150	NIBR|UBC	mitochondrial translation; triclosan:11
MIA40	11	1.9118865	150	NIBR|UBC	mitochondrial translation; triclosan:11
IBA57	11	1.8869085	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL33	11	1.838995	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL23	11	1.7899215	150	NIBR|UBC	mitochondrial translation; triclosan:11
ATP7	11	1.787962	150	NIBR|UBC	mitochondrial translation; triclosan:11
GPI18	11	1.7844695	150	NIBR|UBC	mitochondrial translation; triclosan:11
OCT1	11	1.78444810184493	150	NIBR|UBC	mitochondrial translation; triclosan:11
ATP17	11	1.77172024660303	150	NIBR|UBC	mitochondrial translation; triclosan:11
HSP31	11	1.766592	150	NIBR|UBC	mitochondrial translation; triclosan:11
ABF2	11	1.75724671432046	150	NIBR|UBC	mitochondrial translation; triclosan:11
COA3	11	1.748486	150	NIBR|UBC	mitochondrial translation; triclosan:11
EUG1	11	1.7151595	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL28	11	1.700696	150	NIBR|UBC	mitochondrial translation; triclosan:11
RSM24	11	1.6844005	150	NIBR|UBC	mitochondrial translation; triclosan:11
MRPL8	11	1.681213	150	NIBR|UBC	mitochondrial translation; triclosan:11
RSM22	11	1.6752245	150	NIBR|UBC	mitochondrial translation; triclosan:11
TIM54	12	10.20799	121	NIBR	TIM54 inhibitors; amitriptyline:12
LAA1	12	8.55656	121	NIBR	TIM54 inhibitors; amitriptyline:12
VPS38	12	8.119393	121	NIBR	TIM54 inhibitors; amitriptyline:12
PEP8	12	7.48743	121	NIBR	TIM54 inhibitors; amitriptyline:12
VPS29	12	7.092197	121	NIBR	TIM54 inhibitors; amitriptyline:12
VPS74	12	6.98315	121	NIBR	TIM54 inhibitors; amitriptyline:12
VPS30	12	6.974278	121	NIBR	TIM54 inhibitors; amitriptyline:12
MNL2	12	6.296198	121	NIBR	TIM54 inhibitors; amitriptyline:12
VPS35	12	6.178537	121	NIBR	TIM54 inhibitors; amitriptyline:12
TRS33	12	6.025498	121	NIBR	TIM54 inhibitors; amitriptyline:12
CKB2	12	5.80518569589073	121	NIBR	TIM54 inhibitors; amitriptyline:12
VPS36	12	5.589276	121	NIBR	TIM54 inhibitors; amitriptyline:12
TVP23	12	5.378775	121	NIBR	TIM54 inhibitors; amitriptyline:12
VPS28	12	5.103893	121	NIBR	TIM54 inhibitors; amitriptyline:12
NEO1	12	4.929897	121	NIBR	TIM54 inhibitors; amitriptyline:12
STP22	12	4.923934	121	NIBR	TIM54 inhibitors; amitriptyline:12
SNF8	12	4.839941	121	NIBR	TIM54 inhibitors; amitriptyline:12
CKB1	12	4.76576955348396	121	NIBR	TIM54 inhibitors; amitriptyline:12
VPS20	12	4.481185	121	NIBR	TIM54 inhibitors; amitriptyline:12
SNX3	12	4.468114	121	NIBR	TIM54 inhibitors; amitriptyline:12
